target,component,shaft,sensors,rho,rho_sd,spec,spec_xshaft,spec_xshaft_sd
HPC_eff_mod,HPC,HP,T30+P15+P40,0.8215,0.0334,0.6977,0.6679,0.0603
HPC_eff_mod,HPC,HP,T30+P21+P40,0.7951,0.0175,0.7104,0.6795,0.0727
HPC_eff_mod,HPC,HP,T30+P24+P50,0.7146,0.043,0.7491,0.7155,0.0268
HPC_eff_mod,HPC,HP,T30+T48+T50,0.6908,0.035,0.7069,0.6855,0.0662
HPC_eff_mod,HPC,HP,Nc+T24+T30,0.8653,0.0483,0.774,0.7575,0.0145
HPC_eff_mod,HPC,HP,T30+P21+P24,0.7358,0.0456,0.8023,0.7779,0.0399
HPC_flow_mod,HPC,HP,T30+P15+P21,0.7066,0.0412,0.7225,0.7178,0.0306
HPC_flow_mod,HPC,HP,T30+P15+P24,0.7184,0.0228,0.7128,0.6948,0.1219
HPC_flow_mod,HPC,HP,T30+P21+P24,0.7046,0.0116,0.7413,0.7215,0.0615
HPC_flow_mod,HPC,HP,Wf+T30+P40,0.8333,0.0732,0.4581,0.4137,0.177
HPC_flow_mod,HPC,HP,Wf+T30+P24,0.6546,0.0613,0.3932,0.3036,0.1989
HPC_flow_mod,HPC,HP,T30+T48+T50,0.6657,0.0369,0.6737,0.6527,0.0374
HPT_eff_mod,HPT,HP,Nc+Ps30+P50,0.764,0.0139,0.6189,0.5757,0.0625
HPT_eff_mod,HPT,HP,Nc+T30+Ps30,0.8613,0.0164,0.5732,0.5161,0.0623
HPT_eff_mod,HPT,HP,Nc+P40+P50,0.7517,0.0233,0.6395,0.5983,0.0197
HPT_eff_mod,HPT,HP,Nc+P15+P21,0.7424,0.0091,0.5917,0.5741,0.0186
HPT_eff_mod,HPT,HP,Nc+P24+P50,0.7747,0.0083,0.5164,0.5644,0.0362
HPT_eff_mod,HPT,HP,Nc+T30+T48,0.9652,0.0049,0.612,0.5668,0.0455
HPT_flow_mod,HPT,HP,Wf+Nc+T30,0.8487,0.0212,0.6159,0.6275,0.0342
HPT_flow_mod,HPT,HP,Nc+T30+Ps30,0.8319,0.0737,0.6109,0.589,0.0398
HPT_flow_mod,HPT,HP,Nc+P21+P24,0.1585,0.369,-0.3881,-0.0454,0.2093
HPT_flow_mod,HPT,HP,Nc+P15+P24,0.1673,0.2307,-0.4058,-0.2031,0.2891
HPT_flow_mod,HPT,HP,Wf+T48+T50,0.6138,0.141,0.3635,0.3695,0.0745
HPT_flow_mod,HPT,HP,Nc+T30+T50,0.82,0.0349,0.5205,0.5046,0.1298
LPC_eff_mod,LPC,LP,T24+Ps30+P40,0.4352,0.3221,-0.0631,-0.1767,0.128
