component,leaf,target,sensors,theta_R2,theta_rho,leak,ds
HPT,hpt_eff,HPT_eff_mod,T48+P40+Nc,0.9844879805687567,0.9921312028893086,0.7070111226122491,DS01-005
HPT,hpt_eff,HPT_eff_mod,T48+T30+Nc,0.9874115776234016,0.9938470580711597,0.47880885104210064,DS01-005
HPT,hpt_flow,HPT_flow_mod,T48+P40+Ps30,0.0,0.0,0.004709082696792957,DS01-005
HPT,hpt_flow,HPT_flow_mod,T48+Ps30+Nc,0.0,0.0,0.02088831806119863,DS01-005
HPT,hpt_flow,HPT_flow_mod,T48+P40+Nc,0.0,0.0,0.018601942079157326,DS01-005
HPT,hpt_eff,HPT_eff_mod,T48+P40+Nc,0.8965279153508946,0.9791585932076201,0.5217161740530171,DS02-006
HPT,hpt_eff,HPT_eff_mod,T48+T30+Nc,0.8928040852418583,0.9845796191723729,0.37286570327887864,DS02-006
HPT,hpt_flow,HPT_flow_mod,T48+P40+Ps30,0.0,0.0,0.008497070836634828,DS02-006
HPT,hpt_flow,HPT_flow_mod,T48+Ps30+Nc,0.0,0.0,0.014616181214350264,DS02-006
HPT,hpt_flow,HPT_flow_mod,T48+P40+Nc,0.0,0.0,0.010882669564971229,DS02-006
LPT,lpt_flow,LPT_flow_mod,T50+P50+P24,0.5204775154023735,0.9275380099340725,0.8021532382444185,DS02-006
LPT,lpt_flow,LPT_flow_mod,T50+P24+Nf,0.501495190066323,0.8774379043417273,0.8179832155775999,DS02-006
LPT,lpt_flow,LPT_flow_mod,T50+P50+Nf,0.484657405195272,0.8988628774266436,0.6795684410776149,DS02-006
LPT,lpt_eff,LPT_eff_mod,T50+P50+Nf,0.45639560152336855,0.9478808172462266,0.8560404584698136,DS02-006
LPT,lpt_eff,LPT_eff_mod,T50+Nf+Nc,0.8110816042733022,0.9022669329407879,0.5173892997439075,DS02-006
HPT,hpt_eff,HPT_eff_mod,T48+P40+Nc,0.8660203158347337,0.972463938806069,0.49873281391781893,DS03-012
HPT,hpt_eff,HPT_eff_mod,T48+T30+Nc,0.8580770087633027,0.9820049351072233,0.3930545184789371,DS03-012
HPT,hpt_flow,HPT_flow_mod,T48+P40+Ps30,0.0,0.0,0.0035334853868982594,DS03-012
HPT,hpt_flow,HPT_flow_mod,T48+Ps30+Nc,0.0,0.0,0.012674455920979096,DS03-012
