model,n_params,RMSE,MAE,NASA,R2,rho_RUL,HPT_eff_mod:R2,HPT_eff_mod:rho,LPT_flow_mod:R2,LPT_flow_mod:rho,split,seed,scope,age_RMSE,beats_age,LPT_eff_mod:R2,LPT_eff_mod:rho
LP-specific,69,11.554971486851993,9.456707537096268,1.9629458987984783,0.7180562155497819,0.9420139698459221,0.5806236833943934,0.6048190237468006,0.3416878907602685,0.7225397561422517,0,0,diagnosable,11.367154416770386,False,,
LP-specific,69,10.170326158208379,8.451160795477028,1.619373054641424,0.7680028482908979,0.909161946563052,0.0,0.0,0.0,0.0,0,0,blind,8.19783425318255,False,,
full,102,11.258477389033205,9.191346310271582,1.801256972761942,0.7323396210804948,0.9473914871709608,0.5555712872587495,0.598010945310341,0.32506487123585326,0.7026709555235258,0,0,diagnosable,11.367154416770386,True,0.4334646623438364,0.7162408920190582
full,102,10.502530286744609,8.343605401511274,1.8409749896328176,0.7525993840156384,0.9027711420895059,0.0,0.0,0.0,0.0,0,0,blind,8.19783425318255,False,0.0,0.0
LP-specific,69,9.368442159079816,7.291647830837407,1.4366964274731215,0.8062464161554521,0.9552559649958958,0.48089566189439303,0.6875286471353387,0.3391201016426999,0.6953311997493573,1,0,diagnosable,9.880345436147117,True,,
LP-specific,69,10.727427318219538,9.406095609311699,1.301461951305775,0.7871292793193274,0.9662750706262203,0.0,0.0,0.0,0.0,1,0,blind,15.972233976240949,True,,
full,102,9.41862814266542,7.324778612378065,1.3219753196349133,0.8041650116729595,0.9572488724529293,0.5189076867927793,0.7691299690904729,0.3281124509150103,0.6956330340596908,1,0,diagnosable,9.880345436147117,True,0.42374547586485733,0.7158064300096454
full,102,10.962822065401484,9.198446080997494,1.332265380713283,0.7776846246814815,0.963537644245276,0.0,0.0,0.0,0.0,1,0,blind,15.972233976240949,True,0.0,0.0
LP-specific,69,9.432067687571642,7.785015998937989,1.0920736114914062,0.8126838050152595,0.9610010195603378,-0.03723401237120538,0.8270060687088632,0.4629042890792505,0.856855881965252,2,0,diagnosable,12.580208346704838,True,,
LP-specific,69,13.846307893772233,10.66574521998855,3.411477429674351,0.6270236219494583,0.8808631622715825,0.0,0.0,0.0,0.0,2,0,blind,14.117764790607009,True,,
full,102,9.283718483777811,7.4406925830083175,1.0594446081988929,0.8185297510804515,0.9646535852590514,0.12866213886234568,0.8341622725135932,0.45539132974955443,0.8529205379496188,2,0,diagnosable,12.580208346704838,True,0.65764089958421,0.8449282698343685
full,102,13.251072835073003,10.211449160968598,3.0422501230062404,0.6584019048509266,0.904711135248346,0.0,0.0,0.0,0.0,2,0,blind,14.117764790607009,True,0.0,0.0
LP-specific,69,10.839965765833774,8.727133500419207,1.4558502590013442,0.7479880398085448,0.9562770903041223,0.570500073304496,0.8556059550708806,0.5293771617866387,0.8489347780478601,3,0,diagnosable,11.61438801223646,True,,
LP-specific,69,11.879526519164873,8.791486962848758,2.676277751638644,0.7219787258991308,0.8711463365260759,0.0,0.0,0.0,0.0,3,0,blind,8.604429933213574,False,,
full,102,10.546806436140686,8.319916405169133,1.3789807659302222,0.7614346958113605,0.9670772449352036,0.5167040531960012,0.8423752535012017,0.5071662813460224,0.8507025840989738,3,0,diagnosable,11.61438801223646,True,0.3828145303224689,0.7830085254277369
full,102,11.339917521619137,9.137654086882574,1.834504285977909,0.74666245468997,0.8850903639634763,0.0,0.0,0.0,0.0,3,0,blind,8.604429933213574,False,0.0,0.0
LP-specific,69,8.09891977874028,6.521702344738393,0.9680063276537417,0.8494374744598282,0.9592693900673603,0.5096783750890448,0.8384093363553216,0.4483952894414218,0.7342329906252207,4,0,diagnosable,10.13863499367907,True,,
LP-specific,69,10.623037659703662,8.961193327121334,1.295095708378087,0.7933629076938121,0.9559821602842785,0.0,0.0,0.0,0.0,4,0,blind,18.12670685901831,True,,
full,102,8.402173245961352,6.850481451238388,0.9958019159505452,0.8379511472391977,0.9568254979282299,0.5697244200561908,0.851683650210671,0.34688160103833265,0.723973547342044,4,0,diagnosable,10.13863499367907,True,-0.35728051525359183,0.6790559013369464
full,102,12.561518851359518,10.66228462613913,1.8632686745308926,0.7110683293694162,0.913089572522059,0.0,0.0,0.0,0.0,4,0,blind,18.12670685901831,True,0.0,0.0
LP-specific,69,11.158150175207624,9.068943030849253,1.4445801861479772,0.7391784927985798,0.958331661705644,0.37954568867444194,0.8368609965134921,0.5701735617134633,0.8597672813487567,5,0,diagnosable,13.667745576229425,True,,
LP-specific,69,16.573835430795963,13.0652261145277,7.221615184550336,0.48050383035431377,0.7843781859696657,0.0,0.0,0.0,0.0,5,0,blind,15.186064891142713,False,,
full,102,11.7062358310398,9.173683865474047,1.52043830770424,0.7129262159576324,0.964566524854602,0.3760435222585101,0.8443566562922513,0.5736271142149648,0.8522983524720665,5,0,diagnosable,13.667745576229425,True,0.8198923134087961,0.8501878711854507
full,102,13.693658517842001,11.414160609492411,2.9080410937914936,0.645370146670091,0.8881055519442542,0.0,0.0,0.0,0.0,5,0,blind,15.186064891142713,True,0.0,0.0
LP-specific,69,10.437731362371455,9.092091371254213,1.4548801083336942,0.7709169008840793,0.9704532703643063,0.4848263770131215,0.8619517600605103,0.6522531892538703,0.7278456124745999,6,0,diagnosable,13.4121455108929,True,,
LP-specific,69,9.647802830311711,7.921602776879254,1.3549640542392434,0.8178606652113023,0.9284902701329174,0.0,0.0,0.0,0.0,6,0,blind,14.611400064823652,True,,
