model,n_params,RMSE,MAE,NASA,R2,rho_RUL,HPT_eff_mod:R2,HPT_eff_mod:rho,HPT_flow_mod:R2,HPT_flow_mod:rho,LPT_eff_mod:R2,LPT_eff_mod:rho,LPT_flow_mod:R2,LPT_flow_mod:rho,fold,seed
"GFT (hp,lp) +MF",207,13.493050766288126,10.01911965765692,1.8472513543675595,0.775503880054093,0.9704175740772063,-1.8188979487047563,-0.9332163444925656,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"GFT (hp,lp) +MF",207,12.810824062468848,9.630224706212626,1.6515819925802697,0.7976316157022618,0.9848247756943789,0.9377232665963123,0.9926509709995469,0.0,0.0,0.0,0.0,0.0,0.0,1,1
"GFT (hp,lp) +MF",207,15.275782567433208,11.797870574474617,4.050929843016446,0.5020991471248302,0.9274012212263937,0.9579819021980263,0.9790390840667322,0.0,0.0,0.0,0.0,0.0,0.0,2,0
"GFT (hp,lp) +MF",207,18.21287811170979,13.785312388114914,5.996390549258805,0.2922284585092513,0.8344884838597231,0.8289269653581418,0.9129839646084126,0.0,0.0,0.0,0.0,0.0,0.0,2,1
"GFT (hp,lp) +MF",207,14.256864032430647,10.473702682029051,2.3500637839092002,0.7493679847530433,0.9468557418644559,0.8635799065458284,0.989797718621431,0.0,0.0,0.0,0.0,0.0,0.0,3,0
"GFT (hp,lp) +MF",207,15.411343285446176,11.377997214860246,3.022885872428157,0.7071336197963256,0.949944063505701,0.765223510998106,0.9194215276033142,0.0,0.0,0.0,0.0,0.0,0.0,3,1
"GFT (hp,lp) +MF",207,8.761786635569207,6.787394465075288,1.186584188625431,0.8976493002085331,0.9533953902627804,0.961212082223927,0.9833809724837295,0.0,0.0,0.0,0.0,0.0,0.0,4,0
"GFT (hp,lp) +MF",207,8.683205367805847,6.870251019345068,1.1162877909576605,0.8994769596564358,0.950006517108613,0.9656145967543379,0.9865532083052406,0.0,0.0,0.0,0.0,0.0,0.0,4,1
"GFT (hp,lp) +MF",207,6.336136570929375,5.28177935316765,0.6721486357448979,0.939171777809896,0.9722669850578513,0.9651199965345455,0.9827963035068376,0.0,0.0,0.0,0.0,0.0,0.0,5,0
"GFT (hp,lp) +MF",207,6.090319741835826,4.97857719265953,0.6574042659936485,0.9438000082457648,0.9744048670799864,0.9725723666848365,0.9891461837589006,0.0,0.0,0.0,0.0,0.0,0.0,5,1
"GFT (hp,lp) +MF",207,5.710919600735645,4.345389350054877,0.5158075037301856,0.9556721029422748,0.9788657887063285,0.9497751258356957,0.984061023231809,0.0,0.0,0.0,0.0,0.0,0.0,6,0
"GFT (hp,lp) +MF",207,6.261363586863872,4.483497215048488,0.5544839667466184,0.9467152560920487,0.976036244630363,-2.372952719112134,-0.8864140504758748,0.0,0.0,0.0,0.0,0.0,0.0,6,1
"GFT (hp,lp) fixed-MF",135,14.021457304294573,10.64844974713203,1.9671082831955582,0.7575764322944764,0.9859953251877082,-1.2252702803404323,-0.882306139675026,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"GFT (hp,lp) fixed-MF",135,14.34970016797703,11.109588811265779,2.051765760464102,0.7460932865277514,0.987241463811131,-4.270904544075042,-0.854795380688495,0.0,0.0,0.0,0.0,0.0,0.0,1,1
"GFT (hp,lp) fixed-MF",135,17.100056433270122,13.240559202965555,5.594482047598744,0.3760769629707904,0.9583255378345572,-1.856787226980821,-0.9018420448873814,0.0,0.0,0.0,0.0,0.0,0.0,2,0
"GFT (hp,lp) fixed-MF",135,16.995271433083524,13.36301994122164,5.385972455473339,0.38370003324853874,0.9562240841363432,0.765880819730834,0.881926392383666,0.0,0.0,0.0,0.0,0.0,0.0,2,1
"GFT (hp,lp) fixed-MF",135,15.78953402623045,12.53737999089336,2.9097601264734005,0.6925835114186787,0.9686798989364349,-5.333371463942852,-0.9604897164125173,0.0,0.0,0.0,0.0,0.0,0.0,3,0
"GFT (hp,lp) fixed-MF",135,14.983580499192248,11.97075356131906,2.521283988017387,0.7231658001293133,0.9793808255586397,-23.888524502847208,-0.9533100643857404,0.0,0.0,0.0,0.0,0.0,0.0,3,1
"GFT (hp,lp) fixed-MF",135,6.9223624910542245,5.591160085315371,0.8590286502966997,0.9361127572824998,0.9772573383068843,-1.9302661326552135,-0.8843516105773851,0.0,0.0,0.0,0.0,0.0,0.0,4,0
