RMSE,NASA,R2,model,split,n_params,beats_age,beats_age_nasa
9.733137801857822,3.741042502249186,0.8055853736741492,MLP,0,3009,True,False
10.652170224650973,7.118198471157712,0.7671375907021989,1D-CNN,0,5473,True,False
8.677189878336977,0.9725077566895856,0.8454811765678707,LSTM,0,6049,True,True
8.538672114353052,1.0796036148353632,0.8584355760486544,MLP,1,3009,True,True
10.309452408016611,1.6778719864502902,0.7936309103256056,1D-CNN,1,5473,True,True
8.926873840257546,1.070618129161897,0.8452708119943837,LSTM,1,6049,True,True
8.136609685925464,0.903277777303543,0.8712345422067849,MLP,2,3009,True,True
7.782037966537588,0.9377873016357797,0.882212528215391,1D-CNN,2,5473,True,True
9.116350160274038,1.094128342246586,0.8383579291084897,LSTM,2,6049,True,True
9.86849139652579,1.390540933326758,0.8055237732018472,MLP,3,3009,True,True
10.35471872814316,1.9073094673923157,0.7858877087901265,1D-CNN,3,5473,True,False
10.542150091508802,1.5213659480041375,0.7780662372964959,LSTM,3,6049,True,True
8.717020680593228,1.082681827559609,0.8533803078918794,MLP,4,3009,True,True
10.034226571141259,1.2767697840780605,0.8057218511415498,1D-CNN,4,5473,True,True
10.026736226482084,1.300759738797415,0.8060117922031832,LSTM,4,6049,True,True
9.623234416513757,1.1805540589233106,0.8230209188764586,MLP,5,3009,True,True
9.906602037415123,1.2321604573519995,0.8124447436862038,1D-CNN,5,5473,True,True
10.551915904216955,1.32837795614887,0.787214295075889,LSTM,5,6049,True,True
10.24399281328792,1.9001456762651274,0.794828859166524,MLP,6,3009,True,True
12.077758116073356,6.464294295876433,0.7147994239477404,1D-CNN,6,5473,True,False
10.16851130413892,1.3678960987449091,0.7978412727908304,LSTM,6,6049,True,True
8.733104953373127,1.1233133133643567,0.8463475615666762,MLP,7,3009,True,True
9.580699745186562,1.3361977424407698,0.8150746039848172,1D-CNN,7,5473,True,True
9.95347440862438,1.3609876471316242,0.8004041504601773,LSTM,7,6049,True,True
8.286267783749915,1.0270143504452065,0.866522428688535,MLP,8,3009,True,True
9.119776298181236,1.1181808743320845,0.8383190923043877,1D-CNN,8,5473,True,True
9.779272865356509,1.1343631794916864,0.8140896810327578,LSTM,8,6049,True,True
10.272804392796541,1.4871461323422892,0.8029354056569123,MLP,9,3009,True,True
11.231462784664595,1.722106663766222,0.7644390966342852,1D-CNN,9,5473,True,True
11.023997509341598,1.487920311145771,0.7730611868748302,LSTM,9,6049,True,True
10.410361263070811,1.3509778084912505,0.7955968189294307,MLP,10,3009,True,True
10.402929389037588,1.3557576840138275,0.7958885583646145,1D-CNN,10,5473,True,True
10.710845331272061,1.4086909192830106,0.7836267617821044,LSTM,10,6049,True,True
9.869200656072369,1.9996901558227993,0.7756780428459357,MLP,11,3009,True,True
9.844042551405332,2.016457067046205,0.7768202472414147,1D-CNN,11,5473,True,True
9.967425718154354,1.6721984964749905,0.7711906100985905,LSTM,11,6049,True,True
