split,n_units,RMSE,NASA,R2,rho_RUL,age
LOSO:DS01-005,10,13.4979,2.0887,0.6727,0.883,False
LOSO:DS02-006,9,12.3031,2.3106,0.6707,0.866,False
LOSO:DS03-012,15,12.8097,2.3596,0.6576,0.8666,False
LOSO:DS04,10,18.8603,7.5117,0.3652,0.7131,False
LOSO:DS05,10,10.803,1.5659,0.7842,0.8999,False
LOSO:DS06,10,10.8603,1.6048,0.7747,0.9181,False
LOSO:DS07,10,11.3974,1.8758,0.7492,0.8995,False
LOSO:DS08a-009,15,12.3095,4.1598,0.6361,0.8678,False
LOSO:DS08c-008,10,15.1915,4.2557,0.1334,0.8579,False
LOSO:mean,99,13.1147,3.0814,0.6049,0.8636,False
LOSO:DS01-005,10,10.9953,1.298,0.7828,0.9749,True
LOSO:DS02-006,9,8.1553,1.0967,0.8553,0.9775,True
LOSO:DS03-012,15,8.8877,1.1816,0.8352,0.97,True
LOSO:DS04,10,12.99,1.9742,0.6989,0.9333,True
LOSO:DS05,10,9.465,1.1074,0.8343,0.9673,True
LOSO:DS06,10,8.44,0.9872,0.8639,0.972,True
LOSO:DS07,10,6.8009,0.6661,0.9107,0.9863,True
LOSO:DS08a-009,15,11.6368,2.1975,0.6748,0.9764,True
LOSO:DS08c-008,10,17.759,5.4427,-0.1843,0.9641,True
LOSO:mean,99,10.57,1.7724,0.6969,0.9691,True
