split,n_units,RMSE,NASA,R2,rho_RUL,age
P3:native_pooled,10,7.4195,0.9813,0.8234,0.9606,False
P3:DS01-005,4,7.1391,0.6919,0.8612,0.9744,False
P3:DS02-006,3,5.7965,0.6171,0.9007,0.9618,False
P3:DS03-012,6,7.2096,0.8073,0.8537,0.9521,False
P3:DS04,4,12.9002,2.9668,0.547,0.8188,False
P3:DS05,4,6.7036,0.6893,0.8773,0.9581,False
P3:DS06,4,6.8434,0.7306,0.8719,0.9642,False
P3:DS07,4,9.3689,1.1736,0.7611,0.9268,False
P3:DS08a-009,6,7.6442,1.0205,0.8186,0.9684,False
P3:DS08c-008,4,7.041,0.9179,0.8305,0.9488,False
P3:native_pooled,10,6.7964,0.8103,0.8518,0.9735,True
P3:DS01-005,4,9.8086,1.0717,0.7381,0.9598,True
P3:DS02-006,3,5.7995,0.5839,0.9006,0.9743,True
P3:DS03-012,6,7.6202,0.7794,0.8366,0.9701,True
P3:DS04,4,11.7689,1.6945,0.623,0.8974,True
P3:DS05,4,8.6419,0.8876,0.7961,0.9597,True
P3:DS06,4,8.281,0.8221,0.8124,0.9671,True
P3:DS07,4,10.2759,1.2039,0.7126,0.9416,True
P3:DS08a-009,6,7.3023,0.8856,0.8345,0.9737,True
P3:DS08c-008,4,5.8877,0.6885,0.8815,0.9731,True
