target,R2_in,R2_out,rho_in,rho_out,slope_all,slope_tail,R2_tail,n_tail,specificity,spec_cross_shaft
fan_eff_mod,0.1492,0.338,0.5918,0.4937,0.3223,-0.039,-8.3019,9,0.2768,0.2428
fan_flow_mod,0.3939,-0.3339,0.6042,0.1348,-0.0388,0.6101,-19.6728,9,0.3093,0.3005
LPC_eff_mod,0.2537,0.2166,0.5207,0.4454,0.2161,0.4254,-13.6118,7,0.2319,0.3227
LPC_flow_mod,0.3663,0.6577,0.658,0.73,0.5029,0.0031,-3.5926,8,0.1788,0.3168
HPC_eff_mod,0.8101,0.6958,0.8245,0.9164,0.581,0.0237,-4.3957,7,0.4867,0.4911
HPC_flow_mod,0.4691,0.3946,0.7563,0.8201,1.1309,1.0175,-4.837,26,0.5051,0.4878
HPT_eff_mod,0.8564,-0.9527,0.9276,0.9521,1.4611,-0.5968,-7.4764,23,0.4001,0.3895
HPT_flow_mod,0.712,0.6133,0.8105,0.9129,1.1203,0.9031,-0.4243,15,0.239,0.2152
LPT_eff_mod,0.558,0.4996,0.8846,0.9173,0.4199,0.1132,-7.2629,8,0.1291,0.0631
LPT_flow_mod,0.5799,0.5027,0.8976,0.9112,0.4721,0.4203,-7.2695,7,0.0333,-0.1193
