split,n_units,RMSE,NASA,R2,rho_RUL,age
LOSO:DS01-005,10,12.2616,1.6838,0.7299,0.9062,False
LOSO:DS02-006,9,10.2345,1.595,0.7721,0.9146,False
LOSO:DS03-012,15,9.9015,1.3789,0.7954,0.9331,False
LOSO:DS04,10,17.904,5.3457,0.428,0.7594,False
LOSO:DS05,10,10.3509,1.437,0.8019,0.9124,False
LOSO:DS06,10,10.1703,1.4428,0.8024,0.919,False
LOSO:DS07,10,10.2483,1.4585,0.7972,0.9145,False
LOSO:DS08a-009,15,11.5434,2.4204,0.68,0.9021,False
LOSO:DS08c-008,10,14.2005,3.5337,0.2428,0.8979,False
LOSO:mean,99,11.8683,2.2551,0.6722,0.8955,False
LOSO:DS01-005,10,10.8524,1.264,0.7884,0.9789,True
LOSO:DS02-006,9,7.6099,0.9739,0.874,0.9772,True
LOSO:DS03-012,15,8.2998,1.0618,0.8563,0.975,True
LOSO:DS04,10,13.1731,2.0291,0.6903,0.9307,True
LOSO:DS05,10,9.1739,1.056,0.8444,0.9697,True
LOSO:DS06,10,8.2698,0.961,0.8694,0.9712,True
LOSO:DS07,10,6.5819,0.6584,0.9164,0.984,True
LOSO:DS08a-009,15,11.4735,2.1771,0.6838,0.9762,True
LOSO:DS08c-008,10,17.9408,5.5645,-0.2086,0.9724,True
LOSO:mean,99,10.375,1.7495,0.7016,0.9706,True
