split,n_units,RMSE,NASA,R2,rho_RUL,age
P3:native_pooled,10,9.0836,1.5765,0.7353,0.9333,False
P3:DS01-005,4,8.5283,0.8942,0.802,0.9738,False
P3:DS02-006,3,5.1389,0.4724,0.922,0.9758,False
P3:DS03-012,6,7.6417,0.7538,0.8356,0.9727,False
P3:DS04,4,15.0578,4.127,0.3828,0.7146,False
P3:DS05,4,8.5493,1.0828,0.8004,0.9365,False
P3:DS06,4,8.4029,1.0634,0.8068,0.9404,False
P3:DS07,4,8.5843,0.9172,0.7994,0.9527,False
P3:DS08a-009,6,9.942,1.9352,0.6932,0.9303,False
P3:DS08c-008,4,7.4914,0.9969,0.8081,0.9377,False
P3:native_pooled,10,7.6379,1.0211,0.8129,0.9665,True
P3:DS01-005,4,10.6305,1.2246,0.6923,0.9624,True
P3:DS02-006,3,5.1961,0.4628,0.9202,0.984,True
P3:DS03-012,6,8.122,0.8072,0.8143,0.9755,True
P3:DS04,4,12.8456,2.2525,0.5508,0.8287,True
P3:DS05,4,9.1005,1.0917,0.7739,0.9449,True
P3:DS06,4,8.8374,1.0536,0.7863,0.9499,True
P3:DS07,4,9.7768,1.0531,0.7398,0.9591,True
P3:DS08a-009,6,8.3371,1.178,0.7843,0.9687,True
P3:DS08c-008,4,6.3473,0.7675,0.8622,0.9631,True
